2018-02-19,,,,0.11299999999999955,,0.0,,,,0.6959999999999997,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0040000000000000036,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.1829999999999998,,,,,,,,,,,,,,,,,,0.0,0.0,0.09999999999999787,0.0,,,0.0,,,,
2018-02-20,,,,0.1639999999999997,,0.0,,,,3.5939999999999994,0.0,,0.0,0.0,,0.0,,,0.15000000000000036,,,0.371,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13.93,,,,,,,,,,,,,,,,,,0.0,0.0,0.10000000000000142,0.0,,,0.0,,,,
2018-02-21,,,,0.13600000000000012,,0.0,,,,0.11000000000000121,0.0,,0.0,0.0,,0.0,,,0.14999999999999947,,,0.125,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.6870000000000047,,,,,,,,,,,,,,,,,,1.2079999999999984,0.2669999999999959,0.5670000000000002,1.0999999999999979,,,5.75,,,,
2018-02-22,,,,0.019000000000000128,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.7920000000000016,0.33299999999997,0.6329999999999991,0.7000000000000028,,,2.25,,,,
2018-02-23,,,,0.16600000000000037,,0.0,,,,1.0379999999999985,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,1.4750000000000005,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-02-24,,,,0.26900000000000013,,0.0,,,,4.9620000000000015,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,4.0249999999999995,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-02-25,,,,0.14499999999999957,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-02-26,,,,0.10200000000000031,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-02-27,,,,0.06899999999999995,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.729000000000001,,,,,,0.0,0.0,0.0,0.054000000000002046,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-02-28,,,,0.694,,0.0,,,,0.16699999999999982,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,2.770999999999999,,,,,,0.0,0.0,0.0,0.5380000000000003,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.2079999999999984,0.0,0.0,0.0,,,0.0,,,,
2018-03-01,,,,2.2349999999999994,,0.0,,,,0.6330000000000009,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.607999999999997,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.7920000000000016,0.0,0.0,0.0,,,0.0,,,,
2018-03-02,,,,0.29100000000000037,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.267000000000003,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-03-03,,,,0.022999999999999687,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.5329999999999977,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.4579999999999984,0.0,0.7330000000000005,1.291999999999998,,,3.9579999999999984,,,,
2018-03-04,,,,0.08099999999999952,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3.125,0.0,2.067,2.507999999999999,,,4.042000000000002,,,,
2018-03-05,,,,0.04600000000000115,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.4170000000000016,0.0,0.0,0.0,,,0.0,,,,
2018-03-06,,,,0.125,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.5,,,,
2018-03-07,,,,1.2759999999999998,,0.0,,,,0.6630000000000003,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3.125,0.0,0.9830000000000005,3.1750000000000043,,,5.375,,,,
2018-03-08,,,,0.24900000000000055,,0.0,,,,3.3369999999999997,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,1.3170000000000002,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,4.75,0.0,2.849999999999998,4.966999999999999,,,7.75,,,,
2018-03-09,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0,6.4830000000000005,0.0,0.0,0.003999999999997783,,,,,,,,,,,,,,,,,,8.082999999999998,0.0,4.5340000000000025,7.058,,,14.417000000000002,,,,
2018-03-10,,,,0.18900000000000006,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.804000000000002,,,,,,,,,,,,,,,,,,0.8340000000000032,0.0,0.03300000000000125,0.8249999999999957,,,7.25,,,,
2018-03-11,,,,0.42300000000000004,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5589999999999975,,,,,,,,,,,,,,,,,,2.25,0.0,0.19200000000000017,3.375,,,3.8329999999999984,,,,
2018-03-12,,,,0.3279999999999994,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03300000000000125,,,,,,,,,,,,,,,,,,6.165999999999997,0.0,1.7909999999999968,6.017000000000003,,,9.375,,,,
2018-03-13,,,,0.37599999999999945,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,9.709000000000003,0.6000000000000227,1.658999999999999,5.652999999999999,,,11.109000000000009,,,,
